age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
41,9,2,3,0,2,0,1,6,1,181,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,0,1,3,0,2,0,1,6,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,9,1,6,0,0,2,1,6,1,99,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
59,9,1,7,0,2,0,1,6,1,93,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,6,1,2,1,0,0,1,6,1,233,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,9,2,6,1,0,0,1,6,1,255,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,11,1,6,1,1,1,1,6,1,362,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
46,0,1,7,0,0,0,1,6,1,348,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
59,9,1,7,0,2,0,1,6,1,386,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
49,1,1,7,0,0,0,1,6,1,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,4,1,0,1,2,0,1,6,1,230,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,1,0,0,0,0,0,1,6,1,208,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,11,1,0,1,2,0,1,6,1,336,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,7,1,3,0,0,0,1,6,1,365,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,9,1,2,0,2,0,1,6,1,1666,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,0,1,6,0,2,0,1,6,1,577,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,9,1,0,0,2,0,1,6,1,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
58,4,3,6,0,2,0,1,6,1,366,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,2,1,3,0,2,0,1,6,1,314,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
38,0,2,5,0,0,0,1,6,1,160,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,0,1,6,0,0,2,1,6,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,0,1,6,1,2,0,1,6,1,188,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,9,2,5,1,0,0,1,6,1,22,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,0,1,6,0,2,2,1,6,1,616,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,1,1,2,0,0,2,1,6,1,178,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,0,1,6,0,2,0,1,6,1,355,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,1,1,2,0,2,0,1,6,1,225,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,0,1,3,0,0,0,1,6,1,160,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,3,1,0,0,0,2,1,6,1,266,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
60,0,1,3,0,0,0,1,6,1,253,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
53,0,2,5,0,0,0,1,6,1,179,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,1,1,0,1,0,0,1,6,1,269,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,9,1,5,1,2,0,1,6,1,135,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
50,4,1,6,1,0,2,1,6,1,161,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,7,1,3,1,2,0,1,6,1,787,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,10,1,5,1,2,2,1,6,1,145,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
25,9,2,6,0,2,0,1,6,1,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
47,2,1,6,1,0,0,1,6,1,449,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,1,1,2,0,2,0,1,6,1,812,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,1,1,2,0,1,6,1,164,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,1,1,0,0,1,6,1,366,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
48,0,1,3,0,0,0,1,6,1,357,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,0,1,6,0,0,0,1,6,1,232,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,1,2,2,0,2,0,1,6,1,91,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,0,1,7,0,2,0,1,6,1,273,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,0,1,2,0,2,0,1,6,1,158,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,1,2,0,1,2,2,1,6,1,177,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,4,1,1,0,0,0,1,6,1,200,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,4,0,6,0,2,0,1,6,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
47,0,1,6,1,2,0,1,6,1,176,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,11,1,7,1,0,0,1,6,1,211,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,0,1,6,1,2,0,1,6,1,214,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,1,0,0,1,2,0,1,6,1,1575,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
55,9,1,6,0,0,0,1,6,1,349,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,7,1,3,1,2,0,1,6,1,337,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,4,1,7,1,2,0,1,6,1,272,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,2,1,0,0,1,6,1,208,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
50,1,1,0,1,2,0,1,6,1,193,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,1,1,0,1,1,1,1,6,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
38,0,1,3,1,0,0,1,6,1,165,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
49,2,1,6,1,2,0,1,6,1,1042,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
38,9,2,6,0,0,2,1,6,1,20,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
31,0,0,3,0,0,0,1,6,1,246,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,4,1,1,0,0,0,1,6,1,529,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,0,1,6,0,2,2,1,6,1,192,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
49,9,1,2,0,0,0,1,6,1,1467,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
34,0,1,3,0,2,0,1,6,1,188,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,0,1,6,0,2,0,1,6,1,180,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,11,1,7,1,2,0,1,6,1,48,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
60,0,1,7,1,0,2,1,6,1,213,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,10,1,2,0,0,0,1,6,1,545,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,1,0,0,2,1,6,1,583,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,7,1,5,0,2,0,1,6,1,221,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,4,1,6,0,0,0,1,6,1,426,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
53,0,0,6,1,0,0,1,6,1,287,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,9,2,5,0,0,0,1,6,1,197,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,1,1,1,0,0,0,1,6,1,257,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,7,1,7,0,2,0,1,6,1,229,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
49,1,1,0,0,0,0,1,6,1,55,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,7,1,7,0,0,0,1,6,1,400,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,0,0,6,0,0,0,1,6,1,197,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,0,0,6,0,0,0,1,6,1,190,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,7,2,3,1,0,0,1,6,1,21,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,3,1,1,0,2,0,1,6,1,300,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,0,1,3,0,2,0,1,6,1,123,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,2,1,7,1,2,0,1,6,1,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,9,1,7,1,2,2,1,6,1,325,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
60,5,0,6,1,0,0,1,6,1,514,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
58,10,1,0,1,0,0,1,6,1,849,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,7,0,3,0,2,0,1,6,1,194,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,1,1,2,1,2,0,1,6,1,212,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,4,1,6,0,0,0,1,6,1,337,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,1,1,3,0,0,0,1,6,1,286,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,0,0,6,0,0,0,1,6,1,247,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,1,0,7,1,2,0,1,6,1,518,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,0,1,7,0,2,0,1,6,1,364,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
48,1,0,0,1,2,0,1,6,1,178,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,1,1,3,1,2,0,1,6,1,98,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
49,1,0,3,0,0,0,1,6,1,439,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,7,1,3,0,0,0,1,6,1,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,9,1,3,0,2,0,1,6,1,79,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,0,1,6,0,2,2,1,6,1,175,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,0,1,6,0,0,2,1,6,1,262,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
50,0,1,1,0,0,0,1,6,1,61,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
31,9,0,5,0,2,2,1,6,1,78,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,5,1,0,0,2,0,1,6,1,102,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,9,1,5,1,2,0,1,6,1,579,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
37,1,1,1,0,2,2,1,6,1,143,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,9,1,5,1,0,0,1,6,1,677,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,1,1,7,0,2,0,1,6,1,267,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,1,1,1,0,2,0,1,6,1,345,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,4,1,6,0,0,0,1,6,1,185,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,4,0,6,0,0,0,1,6,1,207,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,3,1,0,1,0,0,1,6,1,69,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,1,1,0,1,0,0,1,6,1,100,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,7,1,3,0,2,0,1,6,1,125,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,1,1,2,1,2,0,1,6,1,461,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
43,10,2,6,0,2,0,1,6,1,240,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,4,1,7,0,2,0,1,6,1,70,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,4,1,6,0,2,0,1,6,1,193,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
53,1,1,0,0,2,0,1,6,1,136,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
38,11,0,3,1,2,0,1,6,1,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,0,1,2,0,1,6,1,528,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,0,1,0,0,1,6,1,541,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,0,2,3,0,2,0,1,6,1,338,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,0,1,6,1,2,0,1,6,1,163,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,1,1,0,0,2,0,1,6,1,87,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
60,1,1,2,1,0,0,1,6,1,301,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,2,1,7,1,2,0,1,6,1,46,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,7,0,3,1,2,0,1,6,1,52,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,2,1,7,1,0,0,1,6,1,204,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,1,1,7,0,2,2,1,6,1,155,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,1,1,2,0,2,2,1,6,1,98,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,1,1,7,1,2,0,1,6,1,71,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,1,1,7,1,0,0,1,6,1,243,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,9,2,5,0,2,0,1,6,1,186,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
59,7,1,3,0,0,0,1,6,1,579,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
24,4,2,6,0,2,0,1,6,1,165,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,1,2,2,1,2,2,1,6,1,163,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,1,1,2,1,0,0,1,6,1,46,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,2,1,0,0,1,6,1,559,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,7,0,3,1,0,0,1,6,1,2033,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,2,1,1,0,0,0,1,6,1,85,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
38,7,1,3,0,2,2,1,6,1,506,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,0,0,7,1,0,0,1,6,1,114,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,1,1,7,0,0,0,1,6,1,114,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,4,0,6,0,2,0,1,6,1,843,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,1,1,3,1,0,2,1,6,1,181,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,7,1,3,1,0,0,1,6,1,427,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,9,1,6,0,2,2,1,6,1,292,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,0,2,6,1,0,0,1,6,1,192,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,7,1,3,0,0,0,1,6,1,93,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
46,4,1,2,0,0,0,1,6,1,128,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,7,1,3,0,2,2,1,6,1,107,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,0,2,1,0,0,0,1,6,1,303,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
28,7,1,3,0,2,0,1,6,1,81,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,1,1,2,0,0,0,1,6,1,270,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,9,1,3,0,0,0,1,6,1,228,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
46,1,1,1,1,2,0,1,6,1,240,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,1,1,2,0,2,2,1,6,1,673,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
36,0,1,6,0,2,0,1,6,1,233,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,1,1,0,1,0,0,1,6,1,102,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,4,1,6,0,0,0,1,6,1,461,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,9,1,1,1,0,0,1,6,1,250,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,5,1,3,1,0,0,1,6,1,130,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
49,1,1,0,1,0,0,1,6,1,252,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,0,1,6,0,2,0,1,6,1,138,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,9,1,5,0,0,0,1,6,1,412,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
38,1,2,2,0,2,0,1,6,1,179,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,4,0,6,0,0,0,1,6,1,19,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,9,1,6,0,0,0,1,6,1,228,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,1,2,2,1,2,0,1,6,1,55,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
48,1,1,0,0,2,0,1,6,1,717,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,0,1,3,1,2,0,1,6,1,313,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,1,2,2,1,0,0,1,6,1,289,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,0,1,2,1,2,0,1,6,1,683,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,1,1,1,0,2,0,1,6,1,1077,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,7,1,3,0,0,0,1,6,1,146,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,7,2,1,0,0,0,1,6,1,167,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,1,1,3,0,2,0,1,6,1,356,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,0,1,7,0,0,0,1,6,1,277,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,1,1,2,0,2,0,1,6,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,8,2,6,1,0,0,1,6,1,218,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,8,2,6,1,2,2,1,6,1,217,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,10,1,5,0,0,0,1,6,1,67,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,7,2,0,0,0,0,1,6,1,291,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,8,2,6,1,2,0,1,6,1,248,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,8,2,2,0,2,0,1,6,1,256,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,3,0,6,0,0,0,1,6,1,286,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
59,0,1,6,0,0,0,1,6,1,477,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,5,1,7,1,0,0,1,6,1,611,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,1,1,5,1,2,0,1,6,1,471,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,3,1,0,1,2,0,1,6,1,381,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
30,1,2,7,0,2,0,1,6,1,251,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
30,1,2,7,0,2,2,1,6,1,408,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
50,3,1,0,1,0,0,1,6,1,287,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,7,1,3,0,0,0,1,6,1,322,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,0,1,3,0,2,0,1,6,1,216,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,9,1,7,1,0,0,1,6,1,366,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,7,2,1,1,2,0,1,6,1,210,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
46,9,1,0,1,2,0,1,6,1,288,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,9,1,2,0,0,0,1,6,1,168,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
58,5,1,6,0,0,0,1,6,1,132,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,9,1,6,0,0,0,1,6,1,64,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,0,2,6,0,0,0,1,6,1,209,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,5,1,0,1,0,0,1,6,1,410,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,1,1,0,0,2,2,1,6,1,177,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,0,1,5,0,2,0,1,6,1,580,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
50,7,0,5,0,2,0,1,6,1,165,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,4,0,0,1,2,0,1,6,1,127,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,0,1,3,1,0,0,1,6,1,357,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,6,1,6,1,0,0,1,6,1,175,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,0,1,5,0,2,0,1,6,1,300,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,1,1,0,0,0,0,1,6,1,136,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
48,0,1,3,0,0,0,1,6,1,125,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,7,1,3,1,0,2,1,6,1,189,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,4,1,6,1,0,2,1,6,1,213,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,5,1,3,0,0,0,1,6,1,238,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,9,2,5,0,0,0,1,6,1,124,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,4,1,6,0,2,0,1,6,1,18,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,7,2,2,0,0,0,1,6,1,730,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
30,9,1,6,1,0,0,1,6,1,40,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,7,0,7,0,0,0,1,6,1,181,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,9,2,5,0,0,0,1,6,1,79,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,9,2,3,0,2,0,1,6,1,142,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,1,2,3,0,0,2,1,6,1,389,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
33,7,2,3,0,0,0,1,6,1,702,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,9,0,5,0,0,0,1,6,1,151,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,1,1,0,0,2,0,1,6,1,211,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,7,1,1,0,2,0,1,6,1,117,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
36,9,1,5,0,2,0,1,6,1,232,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
28,7,1,7,0,0,0,1,6,1,408,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
